x,y
0.03,0
0.06,0
0.09,0
0.12,0
0.15,0
0.18,0
0.21,0
0.24,0
0.27,0
0.3,0
0.33,8.3687e-06
0.36,9.5185e-05
0.39,0.00030898
0.42,0.00070803
0.45,0.0013463
0.48,0.0022116
0.51,0.003079
0.54,0.003709
0.57,0.0039262
0.6,0.003919
0.63,0.003919
0.66,0.003919
0.69,0.003919
0.72,0.003919
0.75,0.003919
0.78,0.003919
0.81,0.003919
0.84,0.003919
0.87,0.003919
0.9,0.003919
0.93,0.003919
0.96,0.003919
0.99,0.003919
1.02,0.003919
1.05,0.003919
1.08,0.003919
1.11,0.003919
1.14,0.003919
1.17,0.003919
1.2,0.0037371
1.23,0.0029337
1.26,0.0015761
1.29,-0.00022673
1.32,-0.0023904
1.35,-0.0046992
1.38,-0.0066771
1.41,-0.0079214
1.44,-0.008195
1.47,-0.008195
1.5,-0.008195
1.53,-0.008195
1.56,-0.008195
1.59,-0.008195
1.62,-0.008195
1.65,-0.008195
1.68,-0.008195
1.71,-0.008195
1.74,-0.008195
1.77,-0.008195
1.8,-0.008195
1.83,-0.008195
1.86,-0.008195
1.89,-0.008195
1.92,-0.008195
1.95,-0.008195
1.98,-0.008195
2.01,-0.008195
2.04,-0.0078632
2.07,-0.0062951
2.1,-0.003633
2.13,-0.0001319
2.16,0.0039932
2.19,0.008378
2.22,0.012147
2.25,0.014579
2.28,0.015202
2.31,0.015202
2.34,0.015202
2.37,0.015202
2.4,0.015202
2.43,0.015202
2.46,0.015202
2.49,0.015202
2.52,0.015202
2.55,0.015202
2.58,0.015202
2.61,0.015202
2.64,0.015202
2.67,0.015202
2.7,0.015202
2.73,0.015202
2.76,0.015202
2.79,0.015202
2.82,0.015202
2.85,0.015125
2.88,0.013231
2.91,0.0092318
2.94,0.0035814
2.97,-0.0031708
3,-0.010783
3.03,-0.017865
3.06,-0.023151
3.09,-0.025642
3.12,-0.025715
3.15,-0.025715
3.18,-0.025715
3.21,-0.025715
3.24,-0.025715
3.27,-0.025715
3.3,-0.025715
3.33,-0.025715
3.36,-0.025715
3.39,-0.025715
3.42,-0.025715
3.45,-0.025715
3.48,-0.025715
3.51,-0.025715
3.54,-0.025715
3.57,-0.025715
3.6,-0.025715
3.63,-0.025715
3.66,-0.025396
3.69,-0.021815
3.72,-0.014905
3.75,-0.0055067
3.78,0.0054245
3.81,0.017463
3.84,0.028267
3.87,0.036043
3.9,0.039393
3.93,0.0394
3.96,0.0394
3.99,0.0394
4.02,0.0394
4.05,0.0394
4.08,0.0394
4.11,0.0394
4.14,0.0394
4.17,0.0394
4.2,0.0394
4.23,0.0394
4.26,0.0394
4.29,0.0394
4.32,0.0394
4.35,0.0394
4.38,0.0394
4.41,0.0394
4.44,0.0394
4.47,0.036276
4.5,0.027824
4.53,0.015277
4.56,0.00013009
4.59,-0.016723
4.62,-0.033005
4.65,-0.045914
4.68,-0.053294
4.71,-0.054394
4.74,-0.054394
4.77,-0.054394
4.8,-0.054394
4.83,-0.054394
4.86,-0.054394
4.89,-0.054394
4.92,-0.054394
4.95,-0.054394
4.98,-0.054394
5.01,-0.054394
5.04,-0.054394
5.07,-0.054394
5.1,-0.054394
5.13,-0.054394
5.16,-0.054394
5.19,-0.054394
5.22,-0.054394
5.25,-0.049673
5.28,-0.037915
5.31,-0.020841
5.34,-0.00056385
5.37,0.021718
5.4,0.042893
5.43,0.059448
5.46,0.068733
5.49,0.070012
