x,y
0.03,0
0.06,0
0.09,0
0.12,0
0.15,0
0.18,0
0.21,0
0.24,0
0.27,0
0.3,0
0.33,0.0010771
0.36,0.012265
0.39,0.039821
0.42,0.091244
0.45,0.17344
0.48,0.28473
0.51,0.39609
0.54,0.47668
0.57,0.50402
0.6,0.50337
0.63,0.50337
0.66,0.50337
0.69,0.50337
0.72,0.50337
0.75,0.50337
0.78,0.50337
0.81,0.50337
0.84,0.50337
0.87,0.50337
0.9,0.50337
0.93,0.50337
0.96,0.50337
0.99,0.50337
1.02,0.50337
1.05,0.50337
1.08,0.50337
1.11,0.50337
1.14,0.50337
1.17,0.50337
1.2,0.47805
1.23,0.41109
1.26,0.33164
1.29,0.27413
1.32,0.26144
1.35,0.29068
1.38,0.33485
1.41,0.36558
1.44,0.36934
1.47,0.36934
1.5,0.36934
1.53,0.36934
1.56,0.36934
1.59,0.36934
1.62,0.36934
1.65,0.36934
1.68,0.36934
1.71,0.36934
1.74,0.36934
1.77,0.36934
1.8,0.36934
1.83,0.36934
1.86,0.36934
1.89,0.36934
1.92,0.36934
1.95,0.36934
1.98,0.36934
2.01,0.36934
2.04,0.35157
2.07,0.31598
2.1,0.28814
2.13,0.29636
2.16,0.3578
2.19,0.45635
2.22,0.55215
2.25,0.60794
2.28,0.61274
2.31,0.61274
2.34,0.61274
2.37,0.61274
2.4,0.61274
2.43,0.61274
2.46,0.61274
2.49,0.61274
2.52,0.61274
2.55,0.61274
2.58,0.61274
2.61,0.61274
2.64,0.61274
2.67,0.61274
2.7,0.61274
2.73,0.61274
2.76,0.61274
2.79,0.61274
2.82,0.61274
2.85,0.57715
2.88,0.48747
2.91,0.37561
2.94,0.27768
2.97,0.21631
3,0.1958
3.03,0.19988
3.06,0.2086
3.09,0.21001
3.12,0.21001
3.15,0.21001
3.18,0.21001
3.21,0.21001
3.24,0.21001
3.27,0.21001
3.3,0.21001
3.33,0.21001
3.36,0.21001
3.39,0.21001
3.42,0.21001
3.45,0.21001
3.48,0.21001
3.51,0.21001
3.54,0.21001
3.57,0.21001
3.6,0.21001
3.63,0.20995
3.66,0.20687
3.69,0.21109
3.72,0.24222
3.75,0.31962
3.78,0.454
3.81,0.61565
3.84,0.75557
3.87,0.83056
3.9,0.83473
3.93,0.83473
3.96,0.83473
3.99,0.83473
4.02,0.83473
4.05,0.83473
4.08,0.83473
4.11,0.83473
4.14,0.83473
4.17,0.83473
4.2,0.83473
4.23,0.83473
4.26,0.83473
4.29,0.83473
4.32,0.83473
4.35,0.83473
4.38,0.83473
4.41,0.82401
4.44,0.73246
4.47,0.57631
4.5,0.39741
4.53,0.2359
4.56,0.109
4.59,0.029422
4.62,-0.012185
4.65,-0.025685
4.68,-0.025594
4.71,-0.025594
4.74,-0.025594
4.77,-0.025594
4.8,-0.025594
4.83,-0.025594
4.86,-0.025594
4.89,-0.025594
4.92,-0.025594
4.95,-0.025594
4.98,-0.025594
5.01,-0.025594
5.04,-0.025594
5.07,-0.025594
5.1,-0.025594
5.13,-0.025594
5.16,-0.025594
5.19,-0.022671
5.22,0.0072666
5.25,0.076477
5.28,0.19543
5.31,0.36968
5.34,0.60125
5.37,0.83389
5.4,1.0106
5.43,1.0853
5.46,1.0846
5.49,1.0846
5.52,1.0846
5.55,1.0846
5.58,1.0846
5.61,1.0846
5.64,1.0846
5.67,1.0846
5.7,1.0846
5.73,1.0846
5.76,1.0846
5.79,1.0846
