x,y
0.01,0.99951
0.02,0.99804
0.03,0.99559
0.04,0.99215
0.05,0.98774
0.06,0.98234
0.07,0.97597
0.08,0.96861
0.09,0.96027
0.1,0.95095
0.11,0.94065
0.12,0.92937
0.13,0.91711
0.14,0.90386
0.15,0.88964
0.16,0.87443
0.17,0.85825
0.18,0.84108
0.19,0.82293
0.2,0.8038
0.21,0.78369
0.22,0.7626
0.23,0.74053
0.24,0.71747
0.25,0.69344
0.26,0.66842
0.27,0.64243
0.28,0.61545
0.29,0.58749
0.3,0.55855
0.31,0.52863
0.32,0.49773
0.33,0.46612
0.34,0.43449
0.35,0.40347
0.36,0.37367
0.37,0.34568
0.38,0.32003
0.39,0.29721
0.4,0.27766
0.41,0.26173
0.42,0.2497
0.43,0.24178
0.44,0.2381
0.45,0.23874
0.46,0.24401
0.47,0.25383
0.48,0.26795
0.49,0.28607
0.5,0.30778
0.51,0.33262
0.52,0.36007
0.53,0.38955
0.54,0.42047
0.55,0.4522
0.56,0.4841
0.57,0.51552
0.58,0.54597
0.59,0.57542
0.6,0.60389
0.61,0.63138
0.62,0.65789
0.63,0.68342
0.64,0.70797
0.65,0.73153
0.66,0.75412
0.67,0.77573
0.68,0.79635
0.69,0.81599
0.7,0.83465
0.71,0.85233
0.72,0.86903
0.73,0.88475
0.74,0.89949
0.75,0.91325
0.76,0.92602
0.77,0.93782
0.78,0.94863
0.79,0.95846
0.8,0.96732
0.81,0.97519
0.82,0.98208
0.83,0.98799
0.84,0.99291
0.85,0.99686
0.86,0.99983
0.87,1.0018
0.88,1.0028
0.89,1.0028
0.9,1.0019
0.91,0.99994
0.92,0.99702
0.93,0.99312
0.94,0.98824
0.95,0.98237
0.96,0.97553
0.97,0.9677
0.98,0.9589
0.99,0.94911
1,0.93834
1.01,0.92659
1.02,0.91386
1.03,0.90015
1.04,0.88546
1.05,0.86978
1.06,0.85313
1.07,0.8355
1.08,0.81688
1.09,0.79728
1.1,0.7767
1.11,0.75514
1.12,0.7326
1.13,0.70908
1.14,0.68458
1.15,0.6591
1.16,0.63263
1.17,0.60519
1.18,0.57676
1.19,0.54735
1.2,0.51697
1.21,0.48563
1.22,0.45385
1.23,0.4223
1.24,0.3916
1.25,0.36235
1.26,0.33513
1.27,0.31046
1.28,0.2888
1.29,0.27056
1.3,0.25608
1.31,0.24559
1.32,0.23929
1.33,0.23725
1.34,0.23967
1.35,0.24673
1.36,0.25827
1.37,0.27401
1.38,0.2936
1.39,0.31661
1.4,0.34256
1.41,0.3709
1.42,0.40105
1.43,0.4324
1.44,0.4643
1.45,0.49612
1.46,0.52724
1.47,0.55733
1.48,0.58644
1.49,0.61457
1.5,0.64172
1.51,0.66789
1.52,0.69307
1.53,0.71728
1.54,0.7405
1.55,0.76275
1.56,0.78401
1.57,0.80429
1.58,0.82359
1.59,0.84191
1.6,0.85925
1.61,0.87561
1.62,0.89098
1.63,0.90538
1.64,0.91879
1.65,0.93123
1.66,0.94268
1.67,0.95315
1.68,0.96264
1.69,0.97115
1.7,0.97868
1.71,0.98523
1.72,0.9908
1.73,0.99538
1.74,0.99899
1.75,1.0016
1.76,1.0033
1.77,1.0039
1.78,1.0036
1.79,1.0023
1.8,1
1.81,0.99675
1.82,0.99251
1.83,0.98728
1.84,0.98108
1.85,0.97389
1.86,0.96572
1.87,0.95657
1.88,0.94645
1.89,0.93533
1.9,0.92324
1.91,0.91017
1.92,0.89612
1.93,0.88108
1.94,0.86507
1.95,0.84807
1.96,0.83009
1.97,0.81114
1.98,0.7912
1.99,0.77028
2,0.74837
2.01,0.72549
2.02,0.70163
2.03,0.67678
2.04,0.65096
2.05,0.62415
2.06,0.59637
2.07,0.5676
2.08,0.53785
2.09,0.50712
2.1,0.47552
2.11,0.44371
2.12,0.41233
2.13,0.382
2.14,0.35331
2.15,0.32682
2.16,0.30303
2.17,0.2824
2.18,0.26531
2.19,0.25206
2.2,0.24289
2.21,0.23793
2.22,0.23727
2.23,0.24118
2.24,0.24969
2.25,0.26261
2.26,0.27962
2.27,0.30035
2.28,0.32437
2.29,0.35115
2.3,0.38015
2.31,0.41077
2.32,0.44238
2.33,0.47434
2.34,0.50603
2.35,0.53683
2.36,0.56663
2.37,0.59544
2.38,0.62327
2.39,0.65012
2.4,0.67599
2.41,0.70088
2.42,0.72478
2.43,0.74771
2.44,0.76966
2.45,0.79062
2.46,0.8106
2.47,0.82961
2.48,0.84763
2.49,0.86467
2.5,0.88073
2.51,0.8958
2.52,0.9099
2.53,0.92302
2.54,0.93515
2.55,0.94631
2.56,0.95648
2.57,0.96567
2.58,0.97388
2.59,0.98111
2.6,0.98736
2.61,0.99263
2.62,0.99692
2.63,1.0002
2.64,1.0025
2.65,1.0039
2.66,1.0043
2.67,1.0036
2.68,1.002
2.69,0.99946
2.7,0.9959
2.71,0.99136
2.72,0.98583
2.73,0.97933
2.74,0.97184
2.75,0.96338
2.76,0.95393
2.77,0.9435
2.78,0.9321
2.79,0.91971
2.8,0.90633
2.81,0.89198
2.82,0.87665
2.83,0.86034
2.84,0.84304
2.85,0.82476
2.86,0.80551
2.87,0.78527
2.88,0.76405
2.89,0.74185
2.9,0.71867
2.91,0.69451
2.92,0.66937
2.93,0.64324
2.94,0.61614
2.95,0.58805
2.96,0.55898
2.97,0.52894
2.98,0.49791
2.99,0.46617
3,0.43441
3.01,0.40326
3.02,0.37335
3.03,0.34524
3.04,0.31949
3.05,0.29658
3.06,0.27695
3.07,0.26095
3.08,0.24888
3.09,0.24093
3.1,0.23723
3.11,0.23788
3.12,0.24316
3.13,0.253
3.14,0.26715
3.15,0.28531
3.16,0.30706
3.17,0.33195
3.18,0.35945
3.19,0.38899
3.2,0.41997
3.21,0.45175
3.22,0.4837
3.23,0.51519
3.24,0.54569
3.25,0.5752
3.26,0.60372
3.27,0.63127
3.28,0.65784
3.29,0.68342
3.3,0.70802
3.31,0.73165
3.32,0.75429
3.33,0.77595
3.34,0.79663
3.35,0.81633
3.36,0.83504
3.37,0.85278
3.38,0.86954
3.39,0.88531
3.4,0.9001
3.41,0.91392
3.42,0.92675
3.43,0.9386
3.44,0.94947
3.45,0.95936
3.46,0.96826
3.47,0.97619
3.48,0.98314
3.49,0.9891
3.5,0.99408
3.51,0.99809
3.52,1.0011
3.53,1.0031
3.54,1.0042
3.55,1.0043
3.56,1.0034
3.57,1.0015
3.58,0.99864
3.59,0.99479
3.6,0.98996
3.61,0.98416
3.62,0.97737
3.63,0.9696
3.64,0.96085
3.65,0.95112
3.66,0.9404
3.67,0.92871
3.68,0.91604
3.69,0.90238
3.7,0.88774
3.71,0.87213
3.72,0.85553
3.73,0.83795
3.74,0.81939
3.75,0.79985
3.76,0.77932
3.77,0.75782
3.78,0.73534
3.79,0.71187
3.8,0.68742
3.81,0.662
3.82,0.63559
3.83,0.6082
3.84,0.57983
3.85,0.55048
3.86,0.52014
3.87,0.48885
3.88,0.45704
3.89,0.42539
3.9,0.39454
3.91,0.36508
3.92,0.3376
3.93,0.31262
3.94,0.29061
3.95,0.27198
3.96,0.25709
3.97,0.24618
3.98,0.23944
3.99,0.23697
4,0.23893
4.01,0.24554
4.02,0.25665
4.03,0.27199
4.04,0.29122
4.05,0.31393
4.06,0.33962
4.07,0.36777
4.08,0.39778
4.09,0.42906
4.1,0.46095
4.11,0.49283
4.12,0.52406
4.13,0.55427
4.14,0.5835
4.15,0.61175
4.16,0.63901
4.17,0.6653
4.18,0.6906
4.19,0.71492
4.2,0.73826
4.21,0.76062
4.22,0.782
4.23,0.8024
4.24,0.82182
4.25,0.84026
4.26,0.85771
4.27,0.87419
4.28,0.88968
4.29,0.90419
4.3,0.91772
4.31,0.93027
4.32,0.94184
4.33,0.95243
4.34,0.96204
4.35,0.97067
4.36,0.97831
4.37,0.98498
4.38,0.99066
4.39,0.99536
4.4,0.99908
4.41,1.0018
4.42,1.0036
4.43,1.0044
4.44,1.0042
4.45,1.003
4.46,1.0008
4.47,0.99767
4.48,0.99354
4.49,0.98843
4.5,0.98234
4.51,0.97527
4.52,0.96722
4.53,0.95819
4.54,0.94818
4.55,0.93719
4.56,0.92521
4.57,0.91225
4.58,0.89832
4.59,0.8834
4.6,0.8675
4.61,0.85062
4.62,0.83276
4.63,0.81392
4.64,0.7941
4.65,0.77329
4.66,0.75151
4.67,0.72874
4.68,0.705
4.69,0.68027
4.7,0.65456
4.71,0.62787
4.72,0.6002
4.73,0.57155
4.74,0.54192
4.75,0.5113
4.76,0.47979
4.77,0.44796
4.78,0.41648
4.79,0.38597
4.8,0.35703
4.81,0.33021
4.82,0.30603
4.83,0.28495
4.84,0.26736
4.85,0.25358
4.86,0.24385
4.87,0.23832
4.88,0.23708
4.89,0.24037
4.9,0.2483
4.91,0.26065
4.92,0.27714
4.93,0.29741
4.94,0.32102
4.95,0.34748
4.96,0.37622
4.97,0.40665
4.98,0.43817
4.99,0.47012
5,0.50188
5.01,0.53282
5.02,0.56275
5.03,0.59169
5.04,0.61966
5.05,0.64664
5.06,0.67265
5.07,0.69767
5.08,0.72171
5.09,0.74477
5.1,0.76685
5.11,0.78795
5.12,0.80807
5.13,0.8272
5.14,0.84536
5.15,0.86253
5.16,0.87873
5.17,0.89394
5.18,0.90817
5.19,0.92142
5.2,0.93369
5.21,0.94498
5.22,0.95529
5.23,0.96461
5.24,0.97296
5.25,0.98032
5.26,0.98671
5.27,0.99211
5.28,0.99653
5.29,0.99997
5.3,1.0024
5.31,1.0039
5.32,1.0044
5.33,1.0039
5.34,1.0025
5.35,1
5.36,0.99659
5.37,0.99218
5.38,0.98679
5.39,0.98042
5.4,0.97307
5.41,0.96474
5.42,0.95543
5.43,0.94513
5.44,0.93386
5.45,0.9216
5.46,0.90837
5.47,0.89415
5.48,0.87895
5.49,0.86277
5.5,0.84561
5.51,0.82747
5.52,0.80835
5.53,0.78824
5.54,0.76716
5.55,0.74509
5.56,0.72205
5.57,0.69802
5.58,0.67301
5.59,0.64702
5.6,0.62005
5.61,0.5921
5.62,0.56317
5.63,0.53325
5.64,0.50236
5.65,0.47068
5.66,0.4389
5.67,0.40763
5.68,0.37751
5.69,0.34912
5.7,0.32301
5.71,0.29968
5.72,0.27957
5.73,0.26304
5.74,0.2504
5.75,0.24186
5.76,0.23755
5.77,0.23755
5.78,0.24215
5.79,0.25132
5.8,0.26485
5.81,0.28243
5.82,0.30368
5.83,0.32812
5.84,0.35526
5.85,0.38453
5.86,0.41533
5.87,0.44702
5.88,0.47898
5.89,0.51057
