x,y
3.57,0.30857
3.58,0.32302
3.59,0.34025
3.6,0.35988
3.61,0.3815
3.62,0.40466
3.63,0.42889
3.64,0.4537
3.65,0.47858
3.66,0.50305
3.67,0.52663
3.68,0.5492
3.69,0.57078
3.7,0.59139
3.71,0.61101
3.72,0.62966
3.73,0.64732
3.74,0.664
3.75,0.6797
3.76,0.69442
3.77,0.70816
3.78,0.72091
3.79,0.73269
3.8,0.74349
3.81,0.7533
3.82,0.76213
3.83,0.76998
3.84,0.77686
3.85,0.78275
3.86,0.78765
3.87,0.79158
3.88,0.79453
3.89,0.7965
3.9,0.79748
3.91,0.79748
3.92,0.79651
3.93,0.79455
3.94,0.79161
3.95,0.78769
3.96,0.78279
3.97,0.77691
3.98,0.77004
3.99,0.7622
4,0.75338
4.01,0.74357
4.02,0.73278
4.03,0.72101
4.04,0.70827
4.05,0.69454
4.06,0.67982
4.07,0.66413
4.08,0.64746
4.09,0.62981
4.1,0.61117
4.11,0.59155
4.12,0.57096
4.13,0.54938
4.14,0.52682
4.15,0.50328
4.16,0.47888
4.17,0.45414
4.18,0.42956
4.19,0.40562
4.2,0.3828
4.21,0.36154
4.22,0.34225
4.23,0.32529
4.24,0.31099
4.25,0.29959
4.26,0.29131
4.27,0.28628
4.28,0.28456
4.29,0.28629
4.3,0.29163
4.31,0.30045
4.32,0.31255
4.33,0.32766
4.34,0.34545
4.35,0.36554
4.36,0.3875
4.37,0.4109
4.38,0.43525
4.39,0.46005
4.4,0.48481
4.41,0.50904
4.42,0.53231
4.43,0.5546
4.44,0.5759
4.45,0.59622
4.46,0.61556
4.47,0.63391
4.48,0.65129
4.49,0.66769
4.5,0.6831
4.51,0.69753
4.52,0.71099
4.53,0.72346
4.54,0.73495
4.55,0.74546
4.56,0.75499
4.57,0.76354
4.58,0.7711
4.59,0.77769
4.6,0.78329
4.61,0.78792
4.62,0.79156
4.63,0.79422
4.64,0.7959
4.65,0.7966
4.66,0.79632
4.67,0.79506
4.68,0.79281
4.69,0.78959
4.7,0.78539
4.71,0.7802
4.72,0.77403
4.73,0.76688
4.74,0.75875
4.75,0.74964
4.76,0.73955
4.77,0.72848
4.78,0.71643
4.79,0.70339
4.8,0.68938
4.81,0.67438
4.82,0.6584
4.83,0.64145
4.84,0.62351
4.85,0.60459
4.86,0.58469
4.87,0.5638
4.88,0.54194
4.89,0.5191
4.9,0.49527
4.91,0.47073
4.92,0.44602
4.93,0.42163
4.94,0.39804
4.95,0.37571
4.96,0.35508
4.97,0.33654
4.98,0.32044
4.99,0.30709
5,0.29671
5.01,0.28949
5.02,0.28555
5.03,0.28494
5.04,0.28788
5.05,0.29441
5.06,0.30436
5.07,0.31749
5.08,0.33353
5.09,0.35212
5.1,0.37288
5.11,0.39537
5.12,0.41912
5.13,0.44366
5.14,0.46849
5.15,0.49312
5.16,0.51704
5.17,0.53996
5.18,0.56189
5.19,0.58284
5.2,0.60281
5.21,0.6218
5.22,0.6398
5.23,0.65683
5.24,0.67287
5.25,0.68794
5.26,0.70202
5.27,0.71512
5.28,0.72724
5.29,0.73838
5.3,0.74854
5.31,0.75772
5.32,0.76592
5.33,0.77314
5.34,0.77937
5.35,0.78462
5.36,0.7889
5.37,0.79219
5.38,0.7945
5.39,0.79583
5.4,0.79618
5.41,0.79555
5.42,0.79394
5.43,0.79134
5.44,0.78777
5.45,0.78321
5.46,0.77767
5.47,0.77116
5.48,0.76366
5.49,0.75518
5.5,0.74572
5.51,0.73527
5.52,0.72385
5.53,0.71145
5.54,0.69806
5.55,0.6837
5.56,0.66835
5.57,0.65202
5.58,0.63471
5.59,0.61642
5.6,0.59715
5.61,0.5769
5.62,0.55567
5.63,0.53345
5.64,0.51026
5.65,0.48612
5.66,0.46149
5.67,0.43686
5.68,0.41273
5.69,0.38958
5.7,0.36786
5.71,0.34799
5.72,0.33034
5.73,0.31525
5.74,0.30299
5.75,0.29378
5.76,0.28778
5.77,0.28508
5.78,0.28575
5.79,0.29002
5.8,0.29782
5.81,0.30895
5.82,0.32318
5.83,0.34019
5.84,0.35961
5.85,0.38103
5.86,0.40403
5.87,0.42811
5.88,0.4528
5.89,0.4776
5.9,0.50201
5.91,0.52556
5.92,0.54811
5.93,0.56967
5.94,0.59025
5.95,0.60986
5.96,0.62848
5.97,0.64612
5.98,0.66278
5.99,0.67846
6,0.69316
6.01,0.70687
6.02,0.71961
6.03,0.73136
6.04,0.74214
6.05,0.75193
6.06,0.76074
6.07,0.76857
6.08,0.77542
6.09,0.78129
6.1,0.78618
6.11,0.79009
6.12,0.79301
6.13,0.79496
6.14,0.79592
6.15,0.7959
6.16,0.79491
6.17,0.79293
6.18,0.78997
6.19,0.78602
6.2,0.7811
6.21,0.7752
6.22,0.76832
6.23,0.76045
6.24,0.7516
6.25,0.74178
6.26,0.73097
6.27,0.71918
6.28,0.70641
6.29,0.69266
6.3,0.67793
6.31,0.66221
6.32,0.64552
6.33,0.62784
6.34,0.60919
6.35,0.58955
6.36,0.56893
6.37,0.54733
6.38,0.52475
6.39,0.50119
6.4,0.47681
6.41,0.45213
6.42,0.42764
6.43,0.40384
6.44,0.38119
6.45,0.36013
6.46,0.34107
6.47,0.32436
6.48,0.31032
6.49,0.2992
6.5,0.2912
6.51,0.28644
6.52,0.285
6.53,0.28703
6.54,0.29265
6.55,0.30175
6.56,0.31409
6.57,0.32941
6.58,0.34737
6.59,0.3676
6.6,0.38968
6.61,0.41313
6.62,0.4375
6.63,0.46228
6.64,0.48698
6.65,0.51111
6.66,0.53425
6.67,0.5564
6.68,0.57756
6.69,0.59774
6.7,0.61695
6.71,0.63517
6.72,0.65241
6.73,0.66867
6.74,0.68395
6.75,0.69825
6.76,0.71156
6.77,0.7239
6.78,0.73526
6.79,0.74563
6.8,0.75502
6.81,0.76343
6.82,0.77087
6.83,0.77732
6.84,0.78278
6.85,0.78727
6.86,0.79078
6.87,0.79331
6.88,0.79485
6.89,0.79541
6.9,0.795
6.91,0.7936
6.92,0.79122
6.93,0.78786
6.94,0.78352
6.95,0.7782
6.96,0.7719
6.97,0.76461
6.98,0.75635
6.99,0.7471
7,0.73687
7.01,0.72567
7.02,0.71348
7.03,0.70031
7.04,0.68616
7.05,0.67102
7.06,0.65491
7.07,0.63782
7.08,0.61974
7.09,0.60069
7.1,0.58065
7.11,0.55963
7.12,0.53763
7.13,0.51465
7.14,0.4907
7.15,0.46615
7.16,0.44151
7.17,0.41728
7.18,0.39393
7.19,0.37193
7.2,0.3517
7.21,0.33362
7.22,0.31804
7.23,0.30524
7.24,0.29545
7.25,0.28885
7.26,0.28552
7.27,0.28553
7.28,0.28911
7.29,0.29625
7.3,0.30676
7.31,0.32041
7.32,0.3369
7.33,0.35588
7.34,0.37695
7.35,0.39967
7.36,0.42357
7.37,0.44817
7.38,0.47297
7.39,0.49747
7.4,0.5212
7.41,0.54392
7.42,0.56566
7.43,0.58641
7.44,0.60619
7.45,0.62498
7.46,0.64279
7.47,0.65962
7.48,0.67547
7.49,0.69034
7.5,0.70423
7.51,0.71714
7.52,0.72906
7.53,0.74001
7.54,0.74997
7.55,0.75896
7.56,0.76696
7.57,0.77398
7.58,0.78002
7.59,0.78508
7.6,0.78916
7.61,0.79225
7.62,0.79437
7.63,0.7955
7.64,0.79566
7.65,0.79483
7.66,0.79302
7.67,0.79024
7.68,0.78647
7.69,0.78172
7.7,0.77598
7.71,0.76927
7.72,0.76158
7.73,0.7529
7.74,0.74325
7.75,0.73261
7.76,0.72099
7.77,0.70839
7.78,0.69481
7.79,0.68025
7.8,0.66471
7.81,0.64819
7.82,0.63068
7.83,0.6122
7.84,0.59273
7.85,0.57229
7.86,0.55086
7.87,0.52845
7.88,0.50506
7.89,0.48078
7.9,0.45612
7.91,0.43157
7.92,0.40763
7.93,0.38477
7.94,0.36343
7.95,0.34401
7.96,0.3269
7.97,0.31241
7.98,0.30081
7.99,0.29229
8,0.28701
8.01,0.28503
8.02,0.28649
8.03,0.29157
8.04,0.30013
8.05,0.31198
8.06,0.32686
8.07,0.34444
8.08,0.36435
8.09,0.38616
8.1,0.40944
8.11,0.4337
8.12,0.45845
8.13,0.48319
8.14,0.50744
8.15,0.53076
8.16,0.55307
8.17,0.5744
8.18,0.59475
8.19,0.61413
8.2,0.63252
8.21,0.64992
8.22,0.66635
8.23,0.6818
8.24,0.69626
8.25,0.70975
8.26,0.72225
8.27,0.73378
8.28,0.74432
8.29,0.75388
8.3,0.76246
8.31,0.77006
8.32,0.77667
8.33,0.78231
8.34,0.78697
8.35,0.79064
8.36,0.79333
8.37,0.79505
8.38,0.79578
8.39,0.79553
8.4,0.7943
8.41,0.79209
8.42,0.7889
8.43,0.78472
8.44,0.77957
8.45,0.77343
8.46,0.76632
8.47,0.75822
8.48,0.74914
8.49,0.73908
8.5,0.72804
8.51,0.71602
8.52,0.70302
8.53,0.68903
8.54,0.67407
8.55,0.65812
8.56,0.6412
8.57,0.62329
8.58,0.6044
8.59,0.58453
8.6,0.56368
8.61,0.54185
8.62,0.51904
8.63,0.49525
8.64,0.47074
8.65,0.44606
8.66,0.4217
8.67,0.39814
8.68,0.37584
8.69,0.35523
8.7,0.33671
8.71,0.32063
8.72,0.30729
8.73,0.29692
8.74,0.28971
8.75,0.28576
8.76,0.28515
8.77,0.28809
8.78,0.29461
8.79,0.30454
8.8,0.31766
8.81,0.33368
8.82,0.35226
8.83,0.373
8.84,0.39547
8.85,0.41921
8.86,0.44373
8.87,0.46854
8.88,0.49315
8.89,0.51706
8.9,0.53996
8.91,0.56188
8.92,0.58281
8.93,0.60277
8.94,0.62174
8.95,0.63973
8.96,0.65674
8.97,0.67277
8.98,0.68782
8.99,0.70189
9,0.71498
9.01,0.72708
9.02,0.73821
9.03,0.74835
9.04,0.75752
9.05,0.7657
9.06,0.7729
9.07,0.77912
9.08,0.78436
9.09,0.78862
9.1,0.79189
9.11,0.79419
9.12,0.7955
